nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15555;40;HEUGAS;Heugas;40180;40125;-1.08333;43.65
15556;40;HABAS;Habas;40290;40118;-0.933333;43.5667
15557;40;GARREY;Garrey;40180;40106;-0.9;43.6667
15558;40;DOAZIT;Doazit;40700;40089;-0.65;43.7
15559;40;YCHOUX;Ychoux;40160;40332;-0.966667;44.3333
15560;40;PEY;Pey;40300;40222;-1.2;43.6333
15561;40;AUDON;Audon;40400;40018;-0.816667;43.8
15562;40;LAURET;Lauret;40320;40148;-0.333333;43.5667
15563;40;GOUSSE;Gousse;40465;40115;-0.9;43.7667
15564;40;AUREILHAN;Aureilhan;40200;40019;-1.2;44.2167
15565;40;LUXEY;Luxey;40430;40167;-0.516667;44.2667
15566;40;MOMUY;Momuy;40700;40188;-0.633333;43.6167
15567;40;AURICE;Aurice;40500;40020;-0.6;43.8167
15568;40;TARNOS;Tarnos;40220;40312;-1.46667;43.5333
15569;40;ESCOURCE;Escource;40210;40094;-1.03333;44.1667
15570;40;LAMOTHE;Lamothe;40250;40143;-0.65;43.7833
15571;40;RETJONS;Retjons;40120;40164;-0.283333;44.1
15572;40;SINDERES;Sindères;40110;40302;-0.983333;44.0333
15573;40;ARUE;Arue;40120;40014;-0.35;44.0667
15574;40;MAYLIS;Maylis;40250;40177;-0.683333;43.7
15575;40;SAINT-GEOURS-D'AURIBAT;Saint-Geours-d'Auribat;40380;40260;-0.833333;43.75
15576;40;COMMENSACQ;Commensacq;40210;40085;-0.816667;44.2167
15577;40;POUDENX;Poudenx;40700;40232;-0.583333;43.5833
15578;40;LARBEY;Larbey;40250;40144;-0.716667;43.7
15579;40;ARBOUCAVE;Arboucave;40320;40005;-0.433333;43.6167
15580;40;GOOS;Goos;40180;40113;-0.9;43.7333
15581;40;DUMES;Dumes;40500;40092;-0.583333;43.7
15582;40;YGOS-SAINT-SATURNIN;Ygos-Saint-Saturnin;40110;40333;-0.733333;43.9833
15583;40;SORE;Sore;40430;40307;-0.583333;44.3167
15584;40;LUGLON;Luglon;40630;40165;-0.716667;44.0833
15585;40;GEAUNE;Geaune;40320;40110;-0.383333;43.65
15586;40;HASTINGUES;Hastingues;40300;40120;-1.15;43.5333
15587;40;YZOSSE;Yzosse;40180;40334;-1.01667;43.7167
15588;40;LIPOSTHEY;Liposthey;40410;40156;-0.883333;44.3167
15589;40;MARPAPS;Marpaps;40330;40173;-0.683333;43.5667
15590;40;AZUR;Azur;40140;40021;-1.3;43.8
15591;40;POUILLON;Pouillon;40350;40233;-1;43.6
15592;40;LATRILLE;Latrille;40800;40146;-0.283333;43.6333
15593;40;BAHUS-SOUBIRAN;Bahus-Soubiran;40320;40022;-0.35;43.6667
15594;40;CARCARES-SAINTE-CROIX;Carcarès-Sainte-Croix;40400;40066;-0.783333;43.85
15595;40;MONSEGUR;Monségur;40700;40190;-0.541389;43.6045
15596;40;LARRIVIERE-SAINT-SAVIN;Larrivière-Saint-Savin;40270;40145;-0.416667;43.7667
15597;40;SORT-EN-CHALOSSE;Sort-en-Chalosse;40180;40308;-0.933333;43.6833
15598;40;SAINT-GEOURS-DE-MAREMNE;Saint-Geours-de-Maremne;40230;40261;-1.23333;43.6833
15599;40;SOLFERINO;Solférino;40210;40303;-0.9;44.15
15600;40;GABARRET;Gabarret;40310;40102;0.016667;43.9833
15601;40;SAINT-AGNET;Saint-Agnet;40800;40247;-0.266667;43.6167
15602;40;UCHACQ-ET-PARENTIS;Uchacq-et-Parentis;40090;40320;-0.55;43.9167
15603;40;TERCIS-LES-BAINS;Tercis-les-Bains;40180;40314;-1.1;43.6667
15604;40;PUJO-LE-PLAN;Pujo-le-Plan;40190;40238;-0.333333;43.85
15605;40;TOSSE;Tosse;40230;40317;-1.33333;43.6833
15606;40;BRETAGNE-DE-MARSAN;Bretagne-de-Marsan;40280;40055;-0.45;43.85
